filename,shiftG_dx,shiftG_dy,shiftR_dx,shiftR_dy,seconds
00029u,131,-3,114,-8,8.47
00087u,50,37,106,56,8.07
00106v,13,-2,11,-1,0.16
00128u,37,26,53,39,7.88
00458u,41,2,85,29,8.03
00737u,16,8,92,15,7.92
00757v,2,3,5,5,0.14
00822u,57,25,125,33,8.13
00888v,6,0,12,1,0.14
00889v,2,2,4,3,0.14
00892u,16,1,42,4,7.86
00907v,2,-1,5,-15,0.13
00911v,1,-1,10,-5,0.14
01031v,1,1,4,2,0.14
01043u,-13,9,13,15,7.88
01047u,25,20,71,33,7.90
01657v,5,1,12,1,0.15
01880v,6,2,14,4,0.14
church,24,-13,58,-4,7.69
emir,49,23,107,40,7.46
harvesters,169,0,282,-18,7.78
icon,42,17,90,23,7.63
